Nama,MQ2,MQ4,MQ5,MQ6
Kapal Api,1715,392,1678,156
Kapal Api,1715,396,1679,157
Kapal Api,1713,398,1679,159
Kapal Api,1711,393,1677,156
Kapal Api,1711,393,1676,159
Kapal Api,1710,394,1681,155
Kapal Api,1713,393,1679,156
Kapal Api,1718,390,1673,155
Kapal Api,1715,389,1680,156
Kapal Api,1714,393,1678,155
Kapal Api,1718,392,1676,154
Kapal Api,1712,390,1675,154
Kapal Api,1709,392,1680,152
Kapal Api,1712,393,1678,159
Kapal Api,1712,391,1675,153
Kapal Api,1711,389,1675,159
Kapal Api,1714,392,1675,154
Kapal Api,1710,388,1679,153
Kapal Api,1712,386,1679,154
Kapal Api,1711,388,1682,156
Kapal Api,1710,388,1679,156
Kapal Api,1709,389,1678,157
Kapal Api,1710,391,1676,151
Kapal Api,1714,390,1675,152
Kapal Api,1717,386,1683,155
Kapal Api,1710,387,1678,154
Kapal Api,1715,384,1674,155
Kapal Api,1712,385,1676,158
Kapal Api,1710,386,1676,154
Kapal Api,1709,380,1678,157
Kapal Api,1713,384,1669,153
Kapal Api,1717,381,1670,159
Kapal Api,1708,387,1667,157
Kapal Api,1716,386,1670,148
Kapal Api,1713,385,1677,155
Kapal Api,1715,383,1674,151
Kapal Api,1712,386,1674,154
Kapal Api,1714,392,1674,155
Kapal Api,1711,386,1672,156
Kapal Api,1708,379,1678,157
Kapal Api,1715,388,1673,151
Kapal Api,1720,384,1674,153
Kapal Api,1719,385,1670,151
Kapal Api,1713,380,1677,156
Kapal Api,1717,387,1674,150
Kapal Api,1712,385,1675,153
Kapal Api,1713,384,1678,156
Kapal Api,1712,377,1668,154
Kapal Api,1718,383,1679,159
Kapal Api,1716,382,1677,150
Kapal Api,1717,388,1673,153
Kapal Api,1716,381,1670,150
Kapal Api,1720,388,1674,159
Kapal Api,1715,386,1672,154
Kapal Api,1714,377,1671,155
Kapal Api,1717,381,1672,154
Kapal Api,1711,382,1672,153
Kapal Api,1716,379,1672,155
Kapal Api,1713,381,1674,154
Kapal Api,1714,380,1670,149
Kapal Api,1711,382,1673,155
Kapal Api,1718,382,1676,151
Kapal Api,1714,380,1673,152
Kapal Api,1713,380,1673,157
Kapal Api,1717,379,1678,155
Kapal Api,1715,378,1674,155
Kapal Api,1715,375,1677,156
Kapal Api,1714,382,1674,155
Kapal Api,1714,382,1680,155
Kapal Api,1705,378,1668,157
Kapal Api,1785,384,1696,192
Kapal Api,1811,399,1747,224
Kapal Api,1781,400,1762,229
Kapal Api,1749,409,1778,234
Kapal Api,1727,406,1783,235
Kapal Api,1700,412,1795,235
Kapal Api,1670,414,1817,238
Kapal Api,1657,419,1817,234
Kapal Api,1640,425,1823,241
Kapal Api,1625,427,1837,233
Kapal Api,1614,424,1842,236
Kapal Api,1599,429,1848,238
Kapal Api,1587,435,1855,241
Kapal Api,1576,425,1854,234
Kapal Api,1566,434,1861,231
Kapal Api,1548,434,1869,234
Kapal Api,1547,435,1872,237
Kapal Api,1535,436,1875,234
Kapal Api,1516,444,1884,233
Kapal Api,1516,442,1878,231
Kapal Api,1506,445,1886,234
Kapal Api,1499,437,1896,236
Kapal Api,1492,442,1892,231
Kapal Api,1484,445,1893,229
Kapal Api,1487,456,1900,230
Kapal Api,1479,456,1896,227
Kapal Api,1463,453,1900,221
Kapal Api,1468,453,1906,237
Kapal Api,1455,453,1896,230
Kapal Api,1456,457,1902,228
Kapal Api,1452,453,1900,229
Kapal Api,1444,456,1903,219
Kapal Api,1436,452,1906,230
Kapal Api,1430,463,1903,220
Kapal Api,1439,458,1902,233
Kapal Api,1424,465,1902,235
Kapal Api,1422,461,1902,229
Kapal Api,1414,461,1903,227
Kapal Api,1424,460,1906,227
Kapal Api,1411,462,1903,229
Kapal Api,1414,468,1901,224
Kapal Api,1413,466,1902,236
Kapal Api,1407,465,1899,226
Kapal Api,1400,461,1907,226
Kapal Api,1406,464,1905,226
Kapal Api,1395,467,1900,220
Kapal Api,1392,468,1899,234
